"cidade", "regiao", "bandeira"
"Agudo", "R01, R02", "vermelha"
"Cacequi", "R01, R02", "vermelha"
"Capão do Cipó", "R01, R02", "vermelha"
"Dilermando de Aguiar", "R01, R02", "vermelha"
"Dona Francisca", "R01, R02", "vermelha"
"Faxinal do Soturno", "R01, R02", "vermelha"
"Formigueiro", "R01, R02", "vermelha"
"Itaara", "R01, R02", "vermelha"
"Itacurubi", "R01, R02", "vermelha"
"Ivorá", "R01, R02", "vermelha"
"Jaguari", "R01, R02", "vermelha"
"Jari", "R01, R02", "vermelha"
"Júlio de Castilhos", "R01, R02", "vermelha"
"Mata", "R01, R02", "vermelha"
"Nova Esperança do Sul", "R01, R02", "vermelha"
"Nova Palma", "R01, R02", "vermelha"
"Paraíso do Sul", "R01, R02", "vermelha"
"Pinhal Grande", "R01, R02", "vermelha"
"Quevedos", "R01, R02", "vermelha"
"Restinga Seca", "R01, R02", "vermelha"
"Santa Maria", "R01, R02", "vermelha"
"Santiago", "R01, R02", "vermelha"
"São Francisco de Assis", "R01, R02", "vermelha"
"São João do Polêsine", "R01, R02", "vermelha"
"São Martinho da Serra", "R01, R02", "vermelha"
"São Pedro do Sul", "R01, R02", "vermelha"
"São Sepé", "R01, R02", "vermelha"
"São Vicente do Sul", "R01, R02", "vermelha"
"Silveira Martins", "R01, R02", "vermelha"
"Toropi", "R01, R02", "vermelha"
"Unistalda", "R01, R02", "vermelha"
"Vila Nova do Sul", "R01, R02", "vermelha"
"Alegrete", "R03", "vermelha"
"Barra do Quaraí", "R03", "vermelha"
"Itaqui", "R03", "vermelha"
"Maçambara", "R03", "vermelha"
"Manoel Viana", "R03", "vermelha"
"Quaraí", "R03", "vermelha"
"Rosário do Sul", "R03", "vermelha"
"Santa Margarida do Sul", "R03", "vermelha"
"Santana do Livramento", "R03", "vermelha"
"São Gabriel", "R03", "vermelha"
"Uruguaiana", "R03", "vermelha"
"Arroio do Sal", "R04, R05", "vermelha"
"Balneário Pinhal", "R04, R05", "vermelha"
"Capão da Canoa", "R04, R05", "vermelha"
"Capivari do Sul", "R04, R05", "vermelha"
"Caraá", "R04, R05", "vermelha"
"Cidreira", "R04, R05", "vermelha"
"Dom Pedro de Alcântara", "R04, R05", "vermelha"
"Imbé", "R04, R05", "vermelha"
"Itati", "R04, R05", "vermelha"
"Mampituba", "R04, R05", "vermelha"
"Maquiné", "R04, R05", "vermelha"
"Morrinhos do Sul", "R04, R05", "vermelha"
"Mostardas", "R04, R05", "vermelha"
"Osório", "R04, R05", "vermelha"
"Palmares do Sul", "R04, R05", "vermelha"
"Santo Antônio da Patrulha", "R04, R05", "vermelha"
"Tavares", "R04, R05", "vermelha"
"Terra de Areia", "R04, R05", "vermelha"
"Torres", "R04, R05", "vermelha"
"Tramandaí", "R04, R05", "vermelha"
"Três Cachoeiras", "R04, R05", "vermelha"
"Três Forquilhas", "R04, R05", "vermelha"
"Xangri-lá", "R04, R05", "vermelha"
"Cambará do Sul", "R06", "vermelha"
"Igrejinha", "R06", "vermelha"
"Parobé", "R06", "vermelha"
"Riozinho", "R06", "vermelha"
"Rolante", "R06", "vermelha"
"São Francisco de Paula", "R06", "vermelha"
"Taquara", "R06", "vermelha"
"Três Coroas", "R06", "vermelha"
"Araricá", "R07", "vermelha"
"Campo Bom", "R07", "vermelha"
"Dois Irmãos", "R07", "vermelha"
"Estância Velha", "R07", "vermelha"
"Ivoti", "R07", "vermelha"
"Lindolfo Collor", "R07", "vermelha"
"Morro Reuter", "R07", "vermelha"
"Nova Hartz", "R07", "vermelha"
"Novo Hamburgo", "R07", "vermelha"
"Portão", "R07", "vermelha"
"Presidente Lucena", "R07", "vermelha"
"Santa Maria do Herval", "R07", "vermelha"
"São José do Hortêncio", "R07", "vermelha"
"São Leopoldo", "R07", "vermelha"
"Sapiranga", "R07", "vermelha"
"Barão", "R08", "vermelha"
"Brochier", "R08", "vermelha"
"Canoas", "R08", "vermelha"
"Capela de Santana", "R08", "vermelha"
"Esteio", "R08", "vermelha"
"Harmonia", "R08", "vermelha"
"Maratá", "R08", "vermelha"
"Montenegro", "R08", "vermelha"
"Nova Santa Rita", "R08", "vermelha"
"Pareci Novo", "R08", "vermelha"
"Salvador do Sul", "R08", "vermelha"
"São José do Sul", "R08", "vermelha"
"São Pedro da Serra", "R08", "vermelha"
"São Sebastião do Caí", "R08", "vermelha"
"Sapucaia do Sul", "R08", "vermelha"
"Tabaí", "R08", "vermelha"
"Triunfo", "R08", "vermelha"
"Tupandi", "R08", "vermelha"
"Alvorada", "R09, R10", "vermelha"
"Arambaré", "R09, R10", "vermelha"
"Arroio dos Ratos", "R09, R10", "vermelha"
"Barão do Triunfo", "R09, R10", "vermelha"
